course_name,certifying_body,cert_image,description,about_this_course,instructor,what_you_learn,price,time,month,instructor_bio,effort_duration,city,state,country,start_date,end_date,jira_id,instructorImage,partner_image,review_images,review_text,header_background_image
Value Stream Corporate Workshop (customized offering),Edura,,Value Stream Corporate Workshop,A foundational workshop to introduce the concept of Value Streams.,Raj Heda,"<p>Value Streams are all about implementing practices and optimizing an organization so that it can provide a continuous flow of value to its customers. We find that todays businesses are too often focused on delivering products and specific product features without taking into consideration their ultimate value to the customer. Value streams start with and focus specifically on business value provided to the customer.</p> <p>Understanding value streams becomes increasingly important as the complexity of your organization grows. Drawing upon parallels from the Scaled Agile Framework (SAFe), many of the techniques that help with coordination and interconnection between Agile processes will also be shown effective at coordinating and delivering value at scale.</p> <p>In this workshop you will partner and collaborate with other students representing a broad swath of your corporate know-how. Under the expert guidance of experienced facilitators, you will have the opportunity to immerse yourself in several actual business challenges and then learn how value stream coordination can help you manage the many competing requirements that may interfere with delivering value. You will have the opportunity to experience, practice, and apply new ways of thinking about delivering customer value. In demonstrations of complex organizations, you will see how these practices scale to meet your challenges.</p> <p>Prerequisites: Experience in management is highly desired, whether from IT or from other departments.</p>",1000,2:59 PM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",2,Boston,MA,USA,6/10/22,6/12/22,EDA-78,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-78_attachments/Review_1.jpg,/images/course_details_images/EDA-78_attachments/Review_2.jpg,/images/course_details_images/EDA-78_attachments/Review_3.jpg,/images/course_details_images/EDA-78_attachments/Review_4.jpg","Great course; I learned everything I needed and more! I am excited to  implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing  what Ive learned with my enterprise. ,Raj is an excellent instructor, always willing to help and great at explaining  concepts. ,This course equipped me with the skills I needed to grow and advance in my  career. Many thanks! ",/images/course_details_images/EDA-78_attachments/Header.jpg
Program Increment Workshop (customized offering),Edura,,Program Increment Workshop (customized offering),An interactive course for all Agile practitioners,Raj Heda,"<p>In an Agile development environment, a program increment (PI) is a timebox during which the  Agile Release Train incrementally delivers value through deploying new systems and  software. It is the summation of a set of sprints, and usually lasts 8-12 weeks. The PI is the final  artifact of the scrum framework, and represents a usable solution</p> <p>This workshop guides participants through the process of defining the program increment,  guiding its development cycle, and realizing its functionality through deployment. Practicing  Scrum without a program increment is merely wasted effort and a lost opportunity. This  customized workshop shows your team how to successfully define and deliver the PI.</p> <p>Everyone in the Agile team will benefit from this workshop. Youll learn how to set realistic  goals for the program increment, how to ensure sprints will deliver the PI, and how to utilize  program increments to continuously improve the outcomes of your agile development process. </p> <p>Unlike any other training program, we offer the following bonuses: </p> <ul> <li>Free follow-up access to your course materials for one year. </li> <li>25% discount on future course fees. Save on courses as you sail through the certification  process. </li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24  hours a day. Study at any day and time you want. Once you are ready, simply sign up to  take the certification exam! </li></ul> </p>Prerequisites: Previous experience in an IT organization highly desired, whether from actual  industry experience or theory. </p>",1500,9:55 AM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",3,Boston,MA,USA,6/10/22,6/13/22,EDA-80,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-80_attachments/Review_1.jpg,/images/course_details_images/EDA-80_attachments/Review_2.jpg,/images/course_details_images/EDA-80_attachments/Review_3.jpg,/images/course_details_images/EDA-80_attachments/Review_4.jpg","We didnt know the difference between a sprint and a program increment. Now we do,  and it has really improved our value flow. Thanks! ,My company was getting stuck between sprints, so this workshop helped us to keep the  train on the track. ,Every day we learned something new. It was a great benefit to our team. ,Highly recommended  Raj showed us how to define program increments that make  sense, enabling us to succeed. ",/images/course_details_images/EDA-80_attachments/Header.jpg
Inspect and Adapt (customized offering),Edura,,Inspect & Adapt (customized offering),A foundational course suitable for all Agile team members,Raj Heda,"<p>At the core of the Agile principles is the concept of regular reflection and tuning. Inspect & Adapt takes place at the end of each Program Increment. All of the stakeholders participate in the event, identifying backlog items for improvement and bolstering the culture of continuous learning.</p> <p>The Inspect & Adapt workshop will demonstrate how this Agile principle can be implemented in your environment. From the workshop, you will gain the skills needed to be introspective about your successes and areas needing more focus.</p> <p>The Inspect & Adapt workshop allows you to release the potential of compounding your triumphs using Agile. Youll see how to demonstrate the program increment, how to measure its benefits both qualitatively and quantitatively, and how to master the complicated process of reflection and continuous improvement.</p> <p>Unlike any other training program, we offer the following bonuses: </p> <ul> <li>Free follow-up access to your course materials for one year. </li> <li>25% discount on future course fees. Save on courses as you sail through the certification  process. </li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24  hours a day. Study at any day and time you want. Once you are ready, simply sign up to  take the certification exam! </li></ul>",1500,4:23 PM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",3,Boston,MA,USA,6/10/22,6/13/22,EDA-81,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-81_attachments/Review_1.jpg,/images/course_details_images/EDA-81_attachments/Review_2.jpg,/images/course_details_images/EDA-81_attachments/Review_3.jpg,/images/course_details_images/EDA-81_attachments/Review_4.jpg","Great workshop  we saw results with our next iteration!,Many groups gloss over this step. The workshop helped us to use the I&A to really make  progress with our processes.,I was amazed at how much value I got from the workshop. Our team is better at getting  better now that we have been shown how the process should be done.,I recommended this workshop to any group who is not seeing the results from their Agile  implementation.",/images/course_details_images/EDA-81_attachments/Header.jpg
Product Management Workshop (customized offering),Edura,,Product Management Workshop (customized offering),A workshop for experience product managers interested in working in an Agile environment,Raj Heda,"<p>Product Management has been around as long as there have been products, but it has been redefined in the Agile world. In an Agile framework, product management is redefined to allow for building and deploying products in a new way. The ability to work with an iterative development cycle and a fast-moving and self-organized team requires a different approach.</p> <p>This workshop highlights the ways that product management in an Agile environment can maintain high standards while taking advantage of the flexibility and quick delivery of value to customers. Product managers learn how to set a clear vision for the team, guide the backlog, and maintain alignment with the business goals. Using skills from this workshop, project managers and other stakeholders will get first-hand experience in how to identify and prioritize features, manage the backlog, and see that the goals of each program increment are realized.</p> <p>Unlike any other training program, we offer the following bonuses: </p> <ul> <li>Free follow-up access to your course materials for one year. </li> <li>25% discount on future course fees. Save on courses as you sail through the certification  process. </li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24  hours a day. Study at any day and time you want. Once you are ready, simply sign up to  take the certification exam! </li></ul> </p>Prerequisites: Previous experience as a manager in an IT organization highly desired, whether from actual industry experience or theory.</p>",1500,12:51 PM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",3,Boston,MA,USA,6/10/22,6/13/22,EDA-82,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-82_attachments/Review_1.jpg,/images/course_details_images/EDA-82_attachments/Review_2.jpg,/images/course_details_images/EDA-82_attachments/Review_3.jpg,/images/course_details_images/EDA-82_attachments/Review_4.jpg","This was great  I now understand how to incorporate the Agile principles with product management. Thanks!,Well worth the time. Our product management has improved and will continue to do so as we continue our implementation.,We got a lot out of the workshop  I was glad to have been invited to participate.,This was the best use of my time in a long while. Implement Agile requires a new way to do our jobs, and this workshop has opened my eyes. Just great.",/images/course_details_images/EDA-82_attachments/Header.jpg
Team Building Workshop (customized offering),Edura,,Team Building Workshop,A workshop designed to help teams connect and increase their effectiveness,Raj Heda,"<p>Are your teams suffering from lack of cohesion and connectedness? Are you and they feeling disconnected and frustrated because they just cant seem to work well together? If these questions describe your teams, then this team building workshop is the perfect fit for you.</p> <p>Our professional team building trainers have years of experience helping teams connect and form bonds, which enable them to be happier, more effective, and increase their performance. During this one day workshop, your team will participate in multiple team-building activities, from games to interactive discussions with one another, all of which will help them discover how to better connect and work with one another</p> <p>Our trainers design these activities based on your teams individual needs, so you can rest assured that this workshop will be tailor made for your team. Through these activities and reflective discussions, every member of your team will learn how to appreciate the unique contributions brought to the table by each member, and how they can all work together to maximize their effectiveness by recognizing their individual strengths and contributions. By the end of this workshop, we guarantee that your team members will have formed bonds, identified how to continue and strengthen their ties to each other, and be ready and excited to work together.</p> <p>Unlike any other training program, we offer the following bonuses: </p> <ul> <li>Free follow-up access to your course materials for one year. </li> <li>25% discount on future course fees. Save on courses as you sail through the certification  process. </li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24  hours a day. Study at any day and time you want. Once you are ready, simply sign up to  take the certification exam! </li></ul>",1000,3:23 PM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",2,Boston,MA,USA,6/10/22,6/12/22,EDA-83,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-83_attachments/Review_1.jpg,/images/course_details_images/EDA-83_attachments/Review_2.jpg,/images/course_details_images/EDA-83_attachments/Review_3.jpg,/images/course_details_images/EDA-83_attachments/Review_4.jpg","Great course; I learned everything I needed and more! I am excited to  implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing  what Ive learned with my enterprise.,Raj is an excellent instructor, always willing to help and great at explaining  concepts.,This course equipped me with the skills I needed to grow and advance in my  career. Many thanks!",/images/course_details_images/EDA-83_attachments/Header.jpg
Customized Scrum/Kanban Workshop (customized offering),Edura,,Customized Scrum/Kanban Workshop,A workshop designed to help teams be equipped to use Scrum and Kanban principles in their working environments.,Raj Heda,"<p>Is your team wanting to learn more about Scrum and Kanban principles in order to enhance your team and working environment? If so, these two workshops have been designed with you in mind. Choose one or both, depending on your teams needs.</p> <p>In our Kanban team workshops, your team will learn about what Kanban actually is and the best practices associated with using it. You will learn about how and when to use it in your team environment, and how you can best incorporate it in your team with other Agile practices you are currently using, or hope to use in future. Our trainers will also demonstrate how to create a Kanban board, and will show you many examples of how different teams use Kanban boards. By the end of this workshop, your team will be ready, able, and empowered to incorporate and use Kanban in your organization to maximize their success and delivery of products.</p> <p>If Scrum training is what your team needs, then look no further. Our Scrum workshops are designed to equip your team with a deep understanding of the Scrum framework and be able to then apply Scrum principles in a working environment. During this one day course, your team will learn about Agile principles and the foundational values and roles that form the basis of Scrum. Trainers will provide instruction on Scrum theory, the Scrum framework, and the role of the Scrum Master within the Scrum environment. Your team will participate in workshops during the course, where they will practice applying the knowledge about Scrum into real world situations and work environments. At the end of the course, your team will understand the Scrum framework, be able to apply this knowledge through application, Scrum events, and Scrum roles.</p> <p>Unlike any other training program, we offer the following bonuses: </p> <ul> <li>Free follow-up access to your course materials for one year. </li> <li>25% discount on future course fees. Save on courses as you sail through the certification  process. </li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24  hours a day. Study at any day and time you want. Once you are ready, simply sign up to  take the certification exam! </li></ul> </p>Prerequisites: None, but recommended that participants have some knowledge or understanding of general Agile principles.</p>",500,6:47 AM,June,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",1,Boston,MA,USA,6/10/22,6/11/22,EDA-84,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/Edura_logo.svg,"/images/course_details_images/EDA-84_attachments/Review_1.jpg,/images/course_details_images/EDA-84_attachments/Review_2.jpg,/images/course_details_images/EDA-84_attachments/Review_3.jpg,/images/course_details_images/EDA-84_attachments/Review_4.jpg","Great course; I learned everything I needed and more! I am excited to  implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing  what Ive learned with my enterprise.,Raj is an excellent instructor, always willing to help and great at explaining  concepts.,This course equipped me with the skills I needed to grow and advance in my  career. Many thanks!",/images/course_details_images/EDA-84_attachments/Header.jpg
Certified SAFe Agilist,SAFe,/images/course_details_images/partner_cert_images/SAFe_agilist.png,Certified SAFe Agilist,A foundational course for the Certified SAFe Agilist certificate,Raj Heda,"<p>The goal of this two-day course is to equip you with the knowledge that is needed in order to be at the forefront of a Lean-Agile enterprise. Leading a Lean-Agile enterprise is a demanding task, and this course will provide you with a deep understanding of the Scaled Agile Framework (SAFe), so that you can take that framework and apply it to an enterprise.</p> <b>Training Overview</b> <p>During the course, attendees will learn about how to become masters of business agility so that they can use that expertise to rise to the top in the market. Discussions will be centered around how to develop agility within teams and in the technical space, and how to use that agility to reorient how value flows in the organization. Additional discussions and sessions will provide attendees with training on how to embrace a mindset centered around the customer, as well as how to implement design thinking, as they deliver products within an agile methodology. Attendees will also be instructed on how to orchestrate and use PI Planning events, as well as how to manage and direct different Agile Release Trains (ARTs) that run concurrently. Finally, attendees will learn how to execute a Lean Portfolio Management function within their enterprises.</p> <p>Unlike any other training program, we offer the following bonuses:</p> <ul> <li>The highest passing rates: The Certified SAFe Agilist certification exam is rigorous, but you will be prepared. Nearly 100% of our graduates pass the exam on their very first attempt. In the unlikely event that you would need to retake the exam, a second trial is free and additional examinations are discounted.</li> <li>Free follow-up access to your course materials for one year.</li> <li>25% discount on future course fees. Save on courses as you sail through the certification process.</li> <li>Anytime availability: Your courses are available over the Internet 7 days a week and 24 hours a day. Study at any day and time you want. Once you are ready, simply sign up to take the certification exam!</li> </ul> <p>Prerequisites: Highly recommended that participants have 5+ years of experience working in software development, business analysis, testing, project management, or product management fields. Experience working in a Scrum environment is also highly desirable.</p>",1000,2:59 PM,October,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",2,Bangalore,Karnataka,India,10/7/22,10/9/22,EDA-67,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/safe-logo.png,"/images/course_details_images/EDA-67_attachments/SAFe_Agilist_Review_1.jpg,/images/course_details_images/EDA-67_attachments/SAFe_Agilist_Review_2.jpg,/images/course_details_images/EDA-67_attachments/SAFe_Agilist_Review_3.jpg,/images/course_details_images/EDA-67_attachments/SAFe_Agilist_Review_4.jpg","Great course; I learned everything I needed and more! I am excited to implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing what Ive learned with my enterprise.,Raj is an excellent instructor, always willing to help and great at explaining concepts.,This course equipped me with the skills I needed to grow and advance in my career. Many thanks",/images/course_details_images/EDA-67_attachments/Header.jpg
Certified SAFe Scrum Master,SAFe,/images/course_details_images/partner_cert_images/SAFe_SM.png,Certified SAFe Scrum Master,A foundational course for the Certified SAFe Scrum Master certificate,Raj Heda,"<p>During this course, you will learn about the Scrum Master role within an enterprise operating in the SAFe environment. This course will delve into the specifics of what a Scrum Master role looks like at an enterprise level, not just in the context of a Scrum team. You will step away from this course enabled to plan and implement the Program Increment (PI), which is essential to align every level of an organization operating in a SAFe environment. Because this course is focused on how a Scrum Master fits into an organization at an enterprise level, you will learn how to apply Scrum in every part of your organization, as well as how to use iterative planning in your organization.</p> <p>In addition to learning about the role of Scrum Master at an enterprise level, you will also discover how acting as a coach and using servant leadership methods will enable you to create successful Agile teams. Trainers will also demonstrate how the formation of these Agile teams can help your organization reach goals and thrive as they seek to met business goals.</p> <p>When you complete this course and gain the Certified SAFe Scrum Master certificate, this certification will demonstrate to companies that you are equipped and ready to lead Agile teams in a SAFe environment, and that your servant leadership and coaching skills will bring tremendous growth and value to their organizations.</p> <p>Unlike any other training program, we offer the following bonuses:</p> <ul> The highest passing rates: The Certified SAFe Scrum Master certification exams are rigorous, but you will be prepared. Nearly 100% of our graduates pass the exam on their very first attempt. In the unlikely event that you would need to retake the exam, a second trial is free and additional examinations are discounted. <li>Free follow-up access to your course materials for one year.</li> <li>25% discount on future course fees. Save on courses as you sail through the certification process.</li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24 hours a day. Study at any day and time you want. Once you are ready, simply sign up to take the certification exam!</li> </ul> <p>Prerequisites: Highly recommended that participants have 5+ years of experience working in software development, business analysis, testing, project management, or product management fields. Experience working in a Scrum environment is also highly desirable.</p>",1000,5:45 AM,October,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",2,Bangalore,Karnataka,India,10/7/22,10/9/22,EDA-68,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/safe-logo.png,"/images/course_details_images/EDA-68_attachments/Review_1.jpg,/images/course_details_images/EDA-68_attachments/Review_2.jpg,/images/course_details_images/EDA-68_attachments/Review_3.jpg,/images/course_details_images/EDA-68_attachments/Review_4.jpg","Great course; I learned everything I needed and more! I am excited to implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing what Ive learned with my enterprise.,Raj is an excellent instructor, always willing to help and great at explaining concepts.,This course equipped me with the skills I needed to grow and advance in my career. Many thanks",/images/course_details_images/EDA-68_attachments/Header.jpg
Certified SAFe Product Owner / Product Manager,SAFe,/images/course_details_images/partner_cert_images/SAFe_PO.png,Certified SAFe Product Owner / Product Manager,A foundational course for the Certified SAFe Product Owner / Product Manager certificate,Raj Heda,"<p>If you are seeking to learn how to become a successful Product Owner or Product Manager within a Lean enterprise, this course is designed for you. In this two day course, you will learn the skills necessary to be able to lead a team to deliver high value as you seek to deliver successful products in your organization.</p> <p>Trainers will equip you with the knowledge and understanding you need in order to be an effective Product Owner/Product Manager within the Agile Release Train (ART). You will discover how you can utilize Lean thinking within the Agile process as you break down Epics first into Features, and then into Stories. In addition, you will learn about the refinement process and how to best refine and manage features, stories, and product backlogs within Iterations and any Program Increments set forth by your enterprise. Finally, you will learn about Continuous Delivery and DevOps, and how these two entities add to the ongoing improvement that takes place within the Agile Release Train (ART).</p> <p>When you complete this course and gain the Certified SAFe Scrum Master certificate, this certification will demonstrate to companies that you are equipped and ready to lead Agile teams in a SAFe environment, and that your servant leadership and coaching skills will bring tremendous growth and value to their organizations.</p> <p>Unlike any other training program, we offer the following bonuses:</p> <ul> The highest passing rates: The Certified SAFe Scrum Master certification exams are rigorous, but you will be prepared. Nearly 100% of our graduates pass the exam on their very first attempt. In the unlikely event that you would need to retake the exam, a second trial is free and additional examinations are discounted. <li>Free follow-up access to your course materials for one year.</li> <li>25% discount on future course fees. Save on courses as you sail through the certification process.</li> <li>Anytime availability: Your course are available over the Internet 7 days a week and 24 hours a day. Study at any day and time you want. Once you are ready, simply sign up to take the certification exam!</li> </ul> <p>Prerequisites: Highly recommended that participants attend a course on Leading SAFe, have work experience in SAFe environment, and have experience in Lean, Agile, or other similar certifications.</p>",1000,9:55 AM,October,"Raj Heda has been teaching software development and Agile courses for  over 20 years. He has extensive experience leading teams in Agile transformation, with  successful results. Raj currently teaches in the Boston area at Boston University and  Brandeis University.",2,Bangalore,Karnataka,India,10/7/22,10/9/22,EDA-69,images/course_details_images/EDA-75_attachments/Raj_Heda.jpg,images/safe-logo.png,"/images/course_details_images/EDA-69_attachments/Review_1.jpg,/images/course_details_images/EDA-69_attachments/Review_2.jpg,/images/course_details_images/EDA-69_attachments/Review_3.jpg,/images/course_details_images/EDA-69_attachments/Review_4.jpg","Great course; I learned everything I needed and more! I am excited to implement these skills into my role in my organization.,Fantastic experience! Highly recommended! I am looking forward to sharing what Ive learned with my enterprise.,Raj is an excellent instructor, always willing to help and great at explaining concepts.,This course equipped me with the skills I needed to grow and advance in my career. Many thanks",/images/course_details_images/EDA-69_attachments/Header.jpg
